"CustomerID";"Recency";"Frequency";"Monetary"
"12722";5034;4;"998"
"14540";5314;3;"996"
"15110";5247;4;"996"
"16009";5183;4;"993"
"16232";5158;4;"991"
"14223";5154;3;"991"
"17324";5040;4;"990"
"17939";5309;1;"99"
"15062";5219;4;"988"
"16376";5363;2;"987"
"18237";5033;5;"987"
"13117";5094;8;"985"
"17144";5151;2;"985"
"15071";5129;2;"982"
"15133";5069;3;"982"
"16907";5091;5;"982"
"16085";5031;5;"982"
"16188";5067;4;"982"
"14138";5151;2;"982"
"12541";5091;3;"981"
"13509";5068;7;"980"
"18170";5213;3;"980"
"18033";5245;1;"98"
"14920";5066;2;"978"
"15860";5186;8;"977"
"14522";5154;4;"975"
"15449";5188;3;"975"
"13026";5129;5;"975"
"12994";5063;3;"974"
"15747";5063;3;"974"
"17618";5251;3;"972"
"13155";5213;4;"972"
"16419";5129;6;"972"
"17325";5282;1;"97"
"14256";5455;2;"969"
"15907";5212;3;"967"
"13138";5697;6;"962"
"14006";5037;3;"962"
"15156";5151;3;"961"
"17024";5248;3;"96"
"14642";5031;1;"96"
"14629";5243;2;"959"
"13823";5123;2;"958"
"12697";5060;3;"958"
"15948";5363;2;"955"
"17097";5182;8;"954"
"15421";5031;4;"950"
"13636";5124;5;"949"
"13748";5190;5;"948"
"15787";5122;3;"948"
"15707";5214;4;"946"
"17289";5035;3;"944"
"14075";5243;3;"942"
"12820";5212;4;"942"
"15576";5333;1;"941"
"15289";5091;3;"940"
"13651";5274;2;"94"
"13283";5061;2;"94"
"18227";5219;1;"94"
"17527";5250;4;"939"
"17227";5092;6;"939"
"14140";5152;2;"935"
"16027";5100;6;"935"
"14081";5100;2;"935"
"12924";5032;4;"934"
"13655";5037;2;"933"
"18133";5066;1;"932"
"17552";5092;4;"930"
"12821";5127;1;"93"
"14231";5126;3;"926"
"14475";5161;3;"926"
"17048";5040;3;"925"
"13805";5336;2;"925"
"15312";5158;4;"925"
"16551";5193;3;"922"
"13122";5215;2;"922"
"17323";5122;7;"921"
"13984";5247;5;"921"
"13075";5336;1;"920"
"12652";5040;1;"920"
"14054";5245;1;"92"
"12789";5245;1;"92"
"12659";5091;1;"92"
"13549";5034;7;"918"
"15253";5032;5;"918"
"14712";5091;3;"917"
"17236";5067;6;"916"
"16809";5122;5;"915"
"14141";5061;4;"915"
"15587";5062;4;"914"
"15364";5246;2;"913"
"13782";5186;6;"912"
"13192";5246;2;"912"
"14289";5037;6;"911"
"18096";5184;3;"911"
"13689";5184;1;"910"
"17511";5037;31;"91,062"
"13947";5245;1;"91"
"15488";5154;1;"91"
"14353";5158;1;"91"
"15511";5364;5;"909"
"13038";5126;3;"908"
"14449";5190;4;"907"
"16716";5373;2;"901"
"17848";5281;9;"901"
"17566";5363;2;"901"
"17886";5152;3;"900"
"15552";5219;1;"90"
"14219";5243;1;"90"
"16597";5243;1;"90"
"12590";5036;2;"9,864"
"13001";5157;13;"9,819"
"13199";5152;38;"9,817"
"15078";5124;32;"9,743"
"12709";5031;15;"9,737"
"13458";5037;14;"9,647"
"14733";5070;12;"9,586"
"16523";5062;21;"9,418"
"12567";5157;10;"9,401"
"14367";5064;16;"9,262"
"14667";5099;25;"9,241"
"18092";5033;11;"9,068"
"13969";5061;18;"9,054"
"12451";5245;5;"9,036"
"13662";5066;3;"898"
"17537";5091;2;"898"
"15079";5066;4;"896"
"15865";5032;3;"895"
"15211";5092;2;"894"
"12772";5061;1;"892"
"15255";5275;1;"891"
"13515";5220;4;"891"
"14344";5129;8;"890"
"17007";5127;6;"890"
"14240";5121;2;"890"
"17027";5372;6;"890"
"12686";5669;1;"89"
"14436";5335;1;"89"
"14623";5183;5;"889"
"16347";5305;2;"888"
"16900";5184;3;"887"
"17109";5091;6;"885"
"15822";5212;2;"885"
"15799";5131;3;"884"
"14597";5369;2;"883"
"18236";5091;6;"882"
"13037";5280;3;"881"
"15180";5547;1;"88"
"15653";5154;2;"877"
"15100";5101;3;"876"
"16513";5243;4;"875"
"13294";5281;2;"874"
"15208";5151;5;"870"
"12694";5126;2;"870"
"13200";5247;4;"870"
"13203";5063;4;"869"
"14912";5190;2;"868"
"16235";5070;5;"867"
"14715";5040;4;"867"
"16121";5158;2;"867"
"16567";5193;2;"866"
"14332";5275;3;"866"
"16221";5129;3;"865"
"13846";5067;3;"865"
"12680";5062;4;"863"
"14577";5394;4;"860"
"12794";5335;2;"860"
"17064";5031;3;"859"
"14553";5213;5;"859"
"16163";5485;2;"857"
"12693";5036;4;"856"
"17560";5187;4;"855"
"16037";5161;3;"855"
"16877";5095;6;"854"
"14193";5306;2;"853"
"16070";5183;2;"852"
"16020";5245;3;"851"
"13841";5371;1;"85"
"15729";5066;1;"85"
"13666";5092;3;"85"
"12713";5120;1;"849"
"14657";5187;4;"848"
"16924";5214;3;"847"
"14803";5129;3;"846"
"15965";5060;4;"846"
"15164";5284;3;"843"
"17624";5250;2;"843"
"17929";5283;4;"843"
"17076";5068;3;"841"
"12401";5130;1;"84"
"13940";5214;4;"839"
"17115";5096;3;"838"
"16554";5040;3;"837"
"16747";5306;2;"836"
"17169";5126;2;"836"
"12728";5070;4;"836"
"13835";5158;4;"835"
"16644";5066;2;"834"
"15862";5363;4;"833"
"14644";5306;2;"831"
"17309";5246;1;"83"
"13681";5187;4;"828"
"12781";5184;2;"827"
"12461";5156;2;"827"
"17921";5214;4;"827"
"15525";5182;3;"826"
"12427";5092;3;"826"
"16284";5152;2;"824"
"12778";5126;6;"822"
"17764";5036;2;"819"
"13220";5188;4;"819"
"16943";5036;3;"817"
"15649";5193;2;"816"
"15399";5151;3;"816"
"14499";5221;3;"815"
"13811";5126;3;"815"
"16460";5060;3;"815"
"13280";5124;3;"815"
"16600";5243;6;"814"
"14421";5036;2;"813"
"16621";5158;4;"813"
"13637";5249;3;"811"
"16891";5151;5;"810"
"16029";5061;63;"81,025"
"17620";5061;1;"81"
"16789";5363;1;"81"
"18281";5035;1;"81"
"17114";5131;8;"809"
"15533";5062;3;"808"
"15952";5213;4;"807"
"12422";5246;3;"804"
"16367";5333;2;"804"
"18248";5124;2;"804"
"18265";5278;2;"802"
"15831";5031;3;"802"
"16806";5311;4;"801"
"15561";5158;4;"801"
"17905";5217;4;"800"
"13747";5728;1;"80"
"13488";5040;13;"8,968"
"13090";5152;14;"8,911"
"16033";5036;20;"8,816"
"17017";5182;20;"8,694"
"17243";5060;26;"8,677"
"17306";5160;19;"8,631"
"16656";5034;15;"8,626"
"14527";5032;55;"8,509"
"12683";5036;15;"8,477"
"15358";5032;22;"8,347"
"16558";5068;20;"8,338"
"14056";5066;23;"8,215"
"14936";5129;8;"8,137"
"16672";5037;20;"8,135"
"13854";5032;25;"8,110"
"14952";5032;11;"8,099"
"18109";5035;26;"8,053"
"14796";5064;17;"8,022"
"13030";5577;2;"799"
"17703";5274;3;"799"
"12701";5067;2;"798"
"16438";5273;5;"798"
"17180";5037;4;"796"
"14976";5099;7;"791"
"13167";5306;4;"791"
"16759";5121;3;"790"
"13016";5155;3;"790"
"15753";5161;1;"79"
"16078";5372;1;"79"
"13329";5152;2;"789"
"13323";5183;5;"788"
"13884";5062;5;"788"
"13212";5122;3;"788"
"16546";5697;2;"787"
"13109";5061;2;"787"
"12628";5213;3;"786"
"15806";5160;3;"785"
"15743";5157;4;"784"
"17387";5213;2;"784"
"18136";5036;3;"784"
"17006";5152;4;"782"
"13583";5187;1;"781"
"15679";5096;4;"781"
"17341";5217;3;"781"
"16725";5100;7;"781"
"17797";5096;3;"780"
"12735";5223;2;"780"
"17942";5332;1;"78"
"13375";5032;1;"779"
"14815";5305;2;"779"
"16505";5152;1;"778"
"17414";5157;2;"778"
"15353";5547;2;"777"
"15618";5154;4;"777"
"13314";5151;3;"776"
"16825";5188;2;"775"
"15414";5067;3;"775"
"14234";5121;4;"775"
"16043";5036;4;"774"
"12965";5062;1;"772"
"17409";5157;2;"772"
"14662";5060;4;"771"
"16770";5697;5;"770"
"13992";5121;1;"77"
"17516";5033;5;"768"
"14672";5193;2;"766"
"17268";5034;4;"764"
"14883";5036;6;"762"
"16205";5121;4;"761"
"15668";5219;1;"76"
"16610";5280;1;"76"
"17995";5313;1;"76"
"18113";5577;1;"76"
"17425";5092;2;"759"
"12413";5223;3;"758"
"15568";5182;3;"758"
"17979";5274;4;"758"
"17461";5091;3;"757"
"15223";5281;2;"756"
"13370";5669;1;"755"
"18104";5333;1;"755"
"13730";5368;2;"753"
"15656";5311;4;"749"
"13623";5121;5;"748"
"14201";5092;7;"747"
"16261";5190;4;"747"
"14050";5152;2;"746"
"13950";5190;4;"745"
"14790";5033;4;"745"
"15252";5126;2;"741"
"13900";5126;3;"741"
"17692";5192;4;"741"
"17974";5280;3;"741"
"18032";5131;1;"74"
"12976";5036;1;"739"
"15045";5064;2;"736"
"15215";5276;3;"735"
"16362";5061;5;"735"
"18156";5608;2;"735"
"16146";5248;3;"734"
"17812";5364;4;"732"
"13575";5031;5;"732"
"13736";5273;2;"732"
"14778";5277;2;"731"
"12468";5249;2;"730"
"18035";5274;3;"730"
"17906";5220;1;"73"
"16171";5061;1;"73"
"13077";5151;4;"729"
"17666";5212;2;"728"
"14869";5363;2;"726"
"17888";5061;8;"726"
"16140";5245;2;"725"
"12723";5212;5;"725"
"15636";5062;2;"725"
"17521";5091;3;"723"
"18062";5223;3;"721"
"13686";5096;1;"72"
"13938";5274;1;"72"
"15274";5243;2;"717"
"17884";5212;4;"717"
"15400";5154;5;"716"
"12535";5123;2;"716"
"15330";5092;2;"715"
"15757";5219;2;"714"
"13147";5121;4;"713"
"17761";5183;1;"713"
"12616";5246;2;"713"
"13169";5184;2;"713"
"13587";5184;1;"712"
"13705";5332;3;"712"
"17642";5033;2;"712"
"15855";5126;5;"712"
"13249";5154;3;"711"
"17472";5369;3;"710"
"14127";5124;3;"710"
"14867";5188;3;"710"
"17022";5152;1;"71"
"16136";5061;3;"709"
"16449";5282;2;"708"
"15951";5363;2;"708"
"14880";5188;3;"706"
"14126";5332;3;"706"
"16882";5275;3;"705"
"16015";5212;3;"705"
"15038";5031;6;"705"
"17934";5031;2;"704"
"15103";5152;2;"703"
"12883";5062;4;"703"
"16997";5314;3;"702"
"15574";5697;4;"702"
"17321";5306;2;"701"
"18037";5156;6;"70"
"12428";5063;9;"7,956"
"15290";5152;18;"7,943"
"14849";5033;25;"7,931"
"12757";5036;13;"7,857"
"17811";5032;39;"7,838"
"13093";5129;8;"7,832"
"13629";5121;11;"7,792"
"15044";5037;17;"7,700"
"15194";5152;15;"7,617"
"18172";5036;20;"7,562"
"13263";5036;35;"7,454"
"12474";5034;18;"7,376"
"12980";5040;9;"7,375"
"15465";5035;18;"7,355"
"17396";5306;8;"7,331"
"12583";5031;15;"7,281"
"13018";5121;28;"7,278"
"18229";5031;20;"7,277"
"16923";5095;19;"7,248"
"16729";5037;21;"7,240"
"16745";5033;17;"7,194"
"16873";5122;6;"7,124"
"13324";5062;10;"7,122"
"13985";5031;15;"7,060"
"14961";5123;9;"7,045"
"16454";5214;2;"7"
"15800";5190;2;"699"
"14829";5091;4;"698"
"15053";5217;3;"698"
"17796";5131;4;"698"
"17423";5219;2;"698"
"13596";5273;2;"697"
"14959";5158;4;"695"
"15304";5092;8;"694"
"12925";5243;2;"694"
"14111";5037;4;"693"
"13601";5036;2;"693"
"12410";5283;2;"693"
"13838";5273;4;"692"
"17198";5485;3;"692"
"17733";5364;2;"692"
"13023";5214;2;"690"
"16212";5372;2;"690"
"18085";5728;2;"690"
"17502";5091;4;"689"
"15181";5275;3;"689"
"18196";5246;2;"689"
"16642";5243;2;"688"
"16122";5070;4;"684"
"12942";5485;3;"684"
"16495";5160;3;"684"
"12838";5213;2;"683"
"15582";5311;3;"683"
"17874";5188;6;"683"
"18135";5091;5;"682"
"13548";5098;2;"682"
"12478";5212;1;"681"
"13524";5280;5;"680"
"16872";5157;3;"680"
"14393";5250;1;"68"
"14788";5332;2;"679"
"13925";5094;4;"678"
"17994";5068;4;"678"
"13040";5213;2;"677"
"17462";5092;2;"676"
"13355";5124;1;"675"
"16418";5154;3;"675"
"13464";5031;1;"675"
"14504";5098;4;"673"
"18121";5156;2;"673"
"17883";5190;4;"672"
"14628";5067;2;"672"
"12638";5213;1;"672"
"17299";5062;4;"669"
"14342";5152;4;"669"
"15031";5121;4;"668"
"13741";5126;3;"668"
"18022";5274;1;"668"
"17105";5222;2;"666"
"15969";5182;3;"666"
"13963";5283;4;"665"
"13240";5276;4;"664"
"14720";5062;3;"664"
"15643";5341;3;"664"
"14451";5092;2;"663"
"16014";5095;3;"662"
"16774";5306;4;"662"
"18218";5036;2;"662"
"14603";5099;1;"660"
"16684";5243;28;"66,654"
"14150";5274;2;"659"
"16357";5097;3;"659"
"13759";5213;2;"659"
"15492";5060;2;"659"
"12577";5274;3;"658"
"16696";5097;4;"658"
"13049";5214;2;"657"
"17459";5092;2;"657"
"16444";5246;4;"655"
"14651";5036;2;"655"
"14548";5034;2;"653"
"14044";5314;4;"653"
"15205";5277;2;"653"
"14034";5248;3;"652"
"16969";5369;3;"650"
"16469";5190;4;"650"
"15571";5213;4;"650"
"14096";5091;17;"65,165"
"13694";5097;50;"65,040"
"17382";5245;1;"65"
"12589";5060;2;"647"
"14855";5033;2;"646"
"15651";5305;3;"646"
"12719";5245;2;"645"
"17312";5187;3;"644"
"16431";5097;3;"643"
"14020";5032;2;"643"
"13034";5608;2;"643"
"17046";5248;1;"642"
"15297";5091;3;"642"
"13318";5151;3;"641"
"13417";5243;2;"641"
"15919";5577;2;"640"
"13302";5187;1;"64"
"13130";5215;1;"64"
"17515";5152;4;"639"
"14664";5213;2;"638"
"14128";5092;2;"638"
"15829";5366;2;"636"
"15773";5273;1;"636"
"14000";5036;1;"636"
"13892";5190;4;"633"
"14220";5220;2;"632"
"14021";5036;3;"632"
"15244";5245;2;"632"
"16306";5069;6;"632"
"13822";5273;2;"632"
"18183";5099;2;"632"
"13539";5314;3;"631"
"13218";5277;1;"63"
"14437";5485;1;"63"
"13525";5251;2;"629"
"13046";5121;2;"629"
"15028";5363;4;"627"
"13914";5305;2;"626"
"16718";5608;1;"624"
"16750";5094;5;"624"
"12649";5066;3;"624"
"15182";5156;2;"623"
"13368";5223;2;"623"
"15258";5219;2;"623"
"16915";5251;6;"622"
"17460";5215;6;"622"
"18217";5091;2;"622"
"13402";5277;2;"621"
"12667";5031;1;"620"
"16141";5032;1;"620"
"14529";5092;3;"620"
"13493";5129;2;"619"
"13145";5123;4;"619"
"12596";5067;2;"618"
"13301";5278;4;"618"
"16442";5151;3;"617"
"14377";5369;2;"617"
"14905";5248;2;"616"
"16005";5096;4;"615"
"15275";5333;1;"615"
"16116";5036;1;"613"
"16109";5250;2;"612"
"18149";5068;3;"612"
"12673";5273;2;"611"
"13731";5190;2;"611"
"14636";5305;2;"610"
"12933";5372;3;"608"
"15573";5152;2;"607"
"17119";5061;2;"607"
"14133";5336;3;"606"
"17849";5101;4;"606"
"17507";5314;2;"606"
"14710";5061;4;"606"
"13888";5033;2;"606"
"13558";5122;4;"605"
"12944";5274;2;"605"
"17664";5066;2;"605"
"13233";5193;2;"605"
"16732";5152;1;"604"
"12556";5064;2;"604"
"17259";5577;2;"603"
"12654";5333;5;"602"
"16654";5249;4;"601"
"12872";5485;2;"600"
"12420";5184;1;"600"
"18211";5221;5;"600"
"15311";5031;91;"60,768"
"17174";5219;1;"60"
"13682";5249;1;"60"
"12766";5131;7;"6,990"
"12989";5032;15;"6,924"
"16713";5037;15;"6,923"
"13027";5187;6;"6,912"
"16187";5152;15;"6,911"
"17416";5091;7;"6,893"
"12705";5159;9;"6,868"
"12476";5250;11;"6,816"
"12830";5123;6;"6,815"
"15023";5160;11;"6,803"
"18055";5308;10;"6,784"
"15601";5062;14;"6,777"
"16652";5031;7;"6,774"
"16532";5254;3;"6,749"
"13576";5091;18;"6,717"
"16746";5033;18;"6,698"
"15249";5033;13;"6,688"
"16353";5040;23;"6,676"
"17338";5040;8;"6,644"
"12626";5214;9;"6,620"
"16182";5367;4;"6,618"
"15144";5031;17;"6,580"
"12472";5183;7;"6,572"
"16814";5037;21;"6,509"
"12431";5033;15;"6,487"
"18223";5221;14;"6,485"
"15694";5091;14;"6,479"
"13225";5092;7;"6,464"
"13102";5070;24;"6,424"
"13871";5099;13;"6,403"
"12359";5040;4;"6,373"
"13668";5067;21;"6,364"
"13709";5212;13;"6,328"
"15005";5131;28;"6,317"
"17315";5036;38;"6,292"
"16126";5091;4;"6,288"
"14057";5062;17;"6,218"
"12357";5213;1;"6,208"
"14060";5101;19;"6,140"
"13418";5066;18;"6,127"
"17509";5092;8;"6,115"
"15939";5035;15;"6,115"
"14735";5212;32;"6,066"
"12637";5123;8;"6,022"
"13097";5124;10;"6,010"
"14792";5184;1;"6"
"13311";5034;2;"599"
"14965";5276;2;"599"
"17420";5728;3;"599"
"13959";5313;3;"598"
"14108";5121;2;"598"
"16298";5218;3;"598"
"17864";5062;3;"598"
"16788";5155;2;"597"
"15381";5097;2;"597"
"14645";5129;2;"597"
"14284";5121;2;"595"
"17658";5036;2;"595"
"15442";5251;1;"594"
"12917";5308;1;"594"
"16325";5159;3;"594"
"16535";5273;1;"594"
