"CustomerID";"Recency";"Frequency";"Monetary";"Cluster"
"12722";5034;4;"998";2
"14540";5314;3;"996";1
"15110";5247;4;"996";0
"16009";5183;4;"993";0
"16232";5158;4;"991";0
"14223";5154;3;"991";0
"17324";5040;4;"990";2
"17939";5309;1;"99";1
"15062";5219;4;"988";0
"16376";5363;2;"987";1
"18237";5033;5;"987";2
"13117";5094;8;"985";2
"17144";5151;2;"985";0
"15071";5129;2;"982";2
"15133";5069;3;"982";2
"16907";5091;5;"982";2
"16085";5031;5;"982";2
"16188";5067;4;"982";2
"14138";5151;2;"982";0
"12541";5091;3;"981";2
"13509";5068;7;"980";2
"18170";5213;3;"980";0
"18033";5245;1;"98";0
"14920";5066;2;"978";2
"15860";5186;8;"977";0
"14522";5154;4;"975";0
"15449";5188;3;"975";0
"13026";5129;5;"975";2
"12994";5063;3;"974";2
"15747";5063;3;"974";2
"17618";5251;3;"972";0
"13155";5213;4;"972";0
"16419";5129;6;"972";2
"17325";5282;1;"97";1
"14256";5455;2;"969";1
"15907";5212;3;"967";0
"13138";5697;6;"962";3
"14006";5037;3;"962";2
"15156";5151;3;"961";0
"17024";5248;3;"96";0
"14642";5031;1;"96";2
"14629";5243;2;"959";0
"13823";5123;2;"958";2
"12697";5060;3;"958";2
"15948";5363;2;"955";1
"17097";5182;8;"954";0
"15421";5031;4;"950";2
"13636";5124;5;"949";2
"13748";5190;5;"948";0
"15787";5122;3;"948";2
"15707";5214;4;"946";0
"17289";5035;3;"944";2
"14075";5243;3;"942";0
"12820";5212;4;"942";0
"15576";5333;1;"941";1
"15289";5091;3;"940";2
"13651";5274;2;"94";1
"13283";5061;2;"94";2
"18227";5219;1;"94";0
"17527";5250;4;"939";0
"17227";5092;6;"939";2
"14140";5152;2;"935";0
"16027";5100;6;"935";2
"14081";5100;2;"935";2
"12924";5032;4;"934";2
"13655";5037;2;"933";2
"18133";5066;1;"932";2
"17552";5092;4;"930";2
"12821";5127;1;"93";2
"14231";5126;3;"926";2
"14475";5161;3;"926";0
"17048";5040;3;"925";2
"13805";5336;2;"925";1
"15312";5158;4;"925";0
"16551";5193;3;"922";0
"13122";5215;2;"922";0
"17323";5122;7;"921";2
"13984";5247;5;"921";0
"13075";5336;1;"920";1
"12652";5040;1;"920";2
"14054";5245;1;"92";0
"12789";5245;1;"92";0
"12659";5091;1;"92";2
"13549";5034;7;"918";2
"15253";5032;5;"918";2
"14712";5091;3;"917";2
"17236";5067;6;"916";2
"16809";5122;5;"915";2
"14141";5061;4;"915";2
"15587";5062;4;"914";2
"15364";5246;2;"913";0
"13782";5186;6;"912";0
"13192";5246;2;"912";0
"14289";5037;6;"911";2
"18096";5184;3;"911";0
"13689";5184;1;"910";0
"17511";5037;31;"91,062";2
"13947";5245;1;"91";0
"15488";5154;1;"91";0
"14353";5158;1;"91";0
"15511";5364;5;"909";1
"13038";5126;3;"908";2
"14449";5190;4;"907";0
"16716";5373;2;"901";1
"17848";5281;9;"901";1
"17566";5363;2;"901";1
"17886";5152;3;"900";0
"15552";5219;1;"90";0
"14219";5243;1;"90";0
"16597";5243;1;"90";0
"12590";5036;2;"9,864";2
"13001";5157;13;"9,819";0
"13199";5152;38;"9,817";0
"15078";5124;32;"9,743";2
"12709";5031;15;"9,737";2
"13458";5037;14;"9,647";2
"14733";5070;12;"9,586";2
"16523";5062;21;"9,418";2
"12567";5157;10;"9,401";0
"14367";5064;16;"9,262";2
"14667";5099;25;"9,241";2
"18092";5033;11;"9,068";2
"13969";5061;18;"9,054";2
"12451";5245;5;"9,036";0
"13662";5066;3;"898";2
"17537";5091;2;"898";2
"15079";5066;4;"896";2
"15865";5032;3;"895";2
"15211";5092;2;"894";2
"12772";5061;1;"892";2
"15255";5275;1;"891";1
"13515";5220;4;"891";0
"14344";5129;8;"890";2
"17007";5127;6;"890";2
"14240";5121;2;"890";2
"17027";5372;6;"890";1
"12686";5669;1;"89";3
"14436";5335;1;"89";1
"14623";5183;5;"889";0
"16347";5305;2;"888";1
"16900";5184;3;"887";0
"17109";5091;6;"885";2
"15822";5212;2;"885";0
"15799";5131;3;"884";2
"14597";5369;2;"883";1
"18236";5091;6;"882";2
"13037";5280;3;"881";1
"15180";5547;1;"88";3
"15653";5154;2;"877";0
"15100";5101;3;"876";2
"16513";5243;4;"875";0
"13294";5281;2;"874";1
"15208";5151;5;"870";0
"12694";5126;2;"870";2
"13200";5247;4;"870";0
"13203";5063;4;"869";2
"14912";5190;2;"868";0
"16235";5070;5;"867";2
"14715";5040;4;"867";2
"16121";5158;2;"867";0
"16567";5193;2;"866";0
"14332";5275;3;"866";1
"16221";5129;3;"865";2
"13846";5067;3;"865";2
"12680";5062;4;"863";2
"14577";5394;4;"860";1
"12794";5335;2;"860";1
"17064";5031;3;"859";2
"14553";5213;5;"859";0
"16163";5485;2;"857";3
"12693";5036;4;"856";2
"17560";5187;4;"855";0
"16037";5161;3;"855";0
"16877";5095;6;"854";2
"14193";5306;2;"853";1
"16070";5183;2;"852";0
"16020";5245;3;"851";0
"13841";5371;1;"85";1
"15729";5066;1;"85";2
"13666";5092;3;"85";2
"12713";5120;1;"849";2
"14657";5187;4;"848";0
"16924";5214;3;"847";0
"14803";5129;3;"846";2
"15965";5060;4;"846";2
"15164";5284;3;"843";1
"17624";5250;2;"843";0
"17929";5283;4;"843";1
"17076";5068;3;"841";2
"12401";5130;1;"84";2
"13940";5214;4;"839";0
"17115";5096;3;"838";2
"16554";5040;3;"837";2
"16747";5306;2;"836";1
"17169";5126;2;"836";2
"12728";5070;4;"836";2
"13835";5158;4;"835";0
"16644";5066;2;"834";2
"15862";5363;4;"833";1
"14644";5306;2;"831";1
"17309";5246;1;"83";0
"13681";5187;4;"828";0
"12781";5184;2;"827";0
"12461";5156;2;"827";0
"17921";5214;4;"827";0
"15525";5182;3;"826";0
"12427";5092;3;"826";2
"16284";5152;2;"824";0
"12778";5126;6;"822";2
"17764";5036;2;"819";2
"13220";5188;4;"819";0
"16943";5036;3;"817";2
"15649";5193;2;"816";0
"15399";5151;3;"816";0
"14499";5221;3;"815";0
"13811";5126;3;"815";2
"16460";5060;3;"815";2
"13280";5124;3;"815";2
"16600";5243;6;"814";0
"14421";5036;2;"813";2
"16621";5158;4;"813";0
"13637";5249;3;"811";0
"16891";5151;5;"810";0
"16029";5061;63;"81,025";2
"17620";5061;1;"81";2
"16789";5363;1;"81";1
"18281";5035;1;"81";2
"17114";5131;8;"809";2
"15533";5062;3;"808";2
"15952";5213;4;"807";0
"12422";5246;3;"804";0
"16367";5333;2;"804";1
"18248";5124;2;"804";2
"18265";5278;2;"802";1
"15831";5031;3;"802";2
"16806";5311;4;"801";1
"15561";5158;4;"801";0
"17905";5217;4;"800";0
"13747";5728;1;"80";3
"13488";5040;13;"8,968";2
"13090";5152;14;"8,911";0
"16033";5036;20;"8,816";2
"17017";5182;20;"8,694";0
"17243";5060;26;"8,677";2
"17306";5160;19;"8,631";0
"16656";5034;15;"8,626";2
"14527";5032;55;"8,509";2
"12683";5036;15;"8,477";2
"15358";5032;22;"8,347";2
"16558";5068;20;"8,338";2
"14056";5066;23;"8,215";2
"14936";5129;8;"8,137";2
"16672";5037;20;"8,135";2
"13854";5032;25;"8,110";2
"14952";5032;11;"8,099";2
"18109";5035;26;"8,053";2
"14796";5064;17;"8,022";2
"13030";5577;2;"799";3
"17703";5274;3;"799";1
"12701";5067;2;"798";2
"16438";5273;5;"798";1
"17180";5037;4;"796";2
"14976";5099;7;"791";2
"13167";5306;4;"791";1
"16759";5121;3;"790";2
"13016";5155;3;"790";0
"15753";5161;1;"79";0
"16078";5372;1;"79";1
"13329";5152;2;"789";0
"13323";5183;5;"788";0
"13884";5062;5;"788";2
"13212";5122;3;"788";2
"16546";5697;2;"787";3
"13109";5061;2;"787";2
"12628";5213;3;"786";0
"15806";5160;3;"785";0
"15743";5157;4;"784";0
"17387";5213;2;"784";0
"18136";5036;3;"784";2
"17006";5152;4;"782";0
"13583";5187;1;"781";0
"15679";5096;4;"781";2
"17341";5217;3;"781";0
"16725";5100;7;"781";2
"17797";5096;3;"780";2
"12735";5223;2;"780";0
"17942";5332;1;"78";1
"13375";5032;1;"779";2
"14815";5305;2;"779";1
"16505";5152;1;"778";0
"17414";5157;2;"778";0
"15353";5547;2;"777";3
"15618";5154;4;"777";0
"13314";5151;3;"776";0
"16825";5188;2;"775";0
"15414";5067;3;"775";2
"14234";5121;4;"775";2
"16043";5036;4;"774";2
"12965";5062;1;"772";2
"17409";5157;2;"772";0
"14662";5060;4;"771";2
"16770";5697;5;"770";3
"13992";5121;1;"77";2
"17516";5033;5;"768";2
"14672";5193;2;"766";0
"17268";5034;4;"764";2
"14883";5036;6;"762";2
"16205";5121;4;"761";2
"15668";5219;1;"76";0
"16610";5280;1;"76";1
"17995";5313;1;"76";1
"18113";5577;1;"76";3
"17425";5092;2;"759";2
"12413";5223;3;"758";0
"15568";5182;3;"758";0
"17979";5274;4;"758";1
"17461";5091;3;"757";2
"15223";5281;2;"756";1
"13370";5669;1;"755";3
"18104";5333;1;"755";1
"13730";5368;2;"753";1
"15656";5311;4;"749";1
"13623";5121;5;"748";2
"14201";5092;7;"747";2
"16261";5190;4;"747";0
"14050";5152;2;"746";0
"13950";5190;4;"745";0
"14790";5033;4;"745";2
"15252";5126;2;"741";2
"13900";5126;3;"741";2
"17692";5192;4;"741";0
"17974";5280;3;"741";1
"18032";5131;1;"74";2
"12976";5036;1;"739";2
"15045";5064;2;"736";2
"15215";5276;3;"735";1
"16362";5061;5;"735";2
"18156";5608;2;"735";3
"16146";5248;3;"734";0
"17812";5364;4;"732";1
"13575";5031;5;"732";2
"13736";5273;2;"732";1
"14778";5277;2;"731";1
"12468";5249;2;"730";0
"18035";5274;3;"730";1
"17906";5220;1;"73";0
"16171";5061;1;"73";2
"13077";5151;4;"729";0
"17666";5212;2;"728";0
"14869";5363;2;"726";1
"17888";5061;8;"726";2
"16140";5245;2;"725";0
"12723";5212;5;"725";0
"15636";5062;2;"725";2
"17521";5091;3;"723";2
"18062";5223;3;"721";0
"13686";5096;1;"72";2
"13938";5274;1;"72";1
"15274";5243;2;"717";0
"17884";5212;4;"717";0
"15400";5154;5;"716";0
"12535";5123;2;"716";2
"15330";5092;2;"715";2
"15757";5219;2;"714";0
"13147";5121;4;"713";2
"17761";5183;1;"713";0
"12616";5246;2;"713";0
"13169";5184;2;"713";0
"13587";5184;1;"712";0
"13705";5332;3;"712";1
"17642";5033;2;"712";2
"15855";5126;5;"712";2
"13249";5154;3;"711";0
"17472";5369;3;"710";1
"14127";5124;3;"710";2
"14867";5188;3;"710";0
"17022";5152;1;"71";0
"16136";5061;3;"709";2
"16449";5282;2;"708";1
"15951";5363;2;"708";1
"14880";5188;3;"706";0
"14126";5332;3;"706";1
"16882";5275;3;"705";1
"16015";5212;3;"705";0
"15038";5031;6;"705";2
"17934";5031;2;"704";2
"15103";5152;2;"703";0
"12883";5062;4;"703";2
"16997";5314;3;"702";1
"15574";5697;4;"702";3
"17321";5306;2;"701";1
"18037";5156;6;"70";0
"12428";5063;9;"7,956";2
"15290";5152;18;"7,943";0
"14849";5033;25;"7,931";2
"12757";5036;13;"7,857";2
"17811";5032;39;"7,838";2
"13093";5129;8;"7,832";2
"13629";5121;11;"7,792";2
"15044";5037;17;"7,700";2
"15194";5152;15;"7,617";0
"18172";5036;20;"7,562";2
"13263";5036;35;"7,454";2
"12474";5034;18;"7,376";2
"12980";5040;9;"7,375";2
"15465";5035;18;"7,355";2
"17396";5306;8;"7,331";1
"12583";5031;15;"7,281";2
"13018";5121;28;"7,278";2
"18229";5031;20;"7,277";2
"16923";5095;19;"7,248";2
"16729";5037;21;"7,240";2
"16745";5033;17;"7,194";2
"16873";5122;6;"7,124";2
"13324";5062;10;"7,122";2
"13985";5031;15;"7,060";2
"14961";5123;9;"7,045";2
"16454";5214;2;"7";0
"15800";5190;2;"699";0
"14829";5091;4;"698";2
"15053";5217;3;"698";0
"17796";5131;4;"698";2
"17423";5219;2;"698";0
"13596";5273;2;"697";1
"14959";5158;4;"695";0
"15304";5092;8;"694";2
"12925";5243;2;"694";0
"14111";5037;4;"693";2
"13601";5036;2;"693";2
